source,dataset_id,budget_id,budget_short,model_repeat_index,role_id,condition_id,condition_short,resolved_branch,a4_run_cell_id,c0_run_cell_id,BACC_C0,BACC_A4,delta_BACC,F1_C0,F1_A4,delta_F1
CANONICAL_STAGE18_MR00,Lee2019_MI,FULL_TRAIN,FULL,0,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,0.7383333333333333,0.7666666666666666,0.0283333333333333,0.7383326064794624,0.7666018338427341,0.0282692273632716
CANONICAL_STAGE18_MR00,Lee2019_MI,FULL_TRAIN,FULL,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,0.7383333333333333,0.765,0.0266666666666667,0.7383326064794624,0.764983679422182,0.0266510729427196
CANONICAL_STAGE18_MR00,Lee2019_MI,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,SSL-CBRAMOD,P02-A4-Lee2019_MI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,P02-A4-Lee2019_MI-SSL-A4-C0-CORE-FULL_TRAIN-MR00,0.6916666666666667,0.6816666666666666,-0.01,0.6915629975630698,0.6803160017741625,-0.0112469957889073
CANONICAL_STAGE18_MR00,Lee2019_MI,FULL_TRAIN,FULL,0,SSL,A4-C3-MULTI-PROB-AVG,C3,SSL-CBRAMOD,P02-A4-Lee2019_MI-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,P02-A4-Lee2019_MI-SSL-A4-C0-CORE-FULL_TRAIN-MR00,0.6916666666666667,0.6833333333333333,-0.0083333333333333,0.6915629975630698,0.6830480766022754,-0.0085149209607944
CANONICAL_STAGE18_MR00,Lee2019_MI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,NEURAL,A4-C1-LONG-3P5S,C1,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.52,0.5083333333333333,-0.0116666666666667,0.5094476744186047,0.4461809955600612,-0.0632666788585435
CANONICAL_STAGE18_MR00,Lee2019_MI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.52,0.5166666666666666,-0.0033333333333334,0.5094476744186047,0.5154553049289892,0.0060076305103844
CANONICAL_STAGE18_MR00,Lee2019_MI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.52,0.5283333333333333,0.0083333333333333,0.5094476744186047,0.5128403017062065,0.0033926272876018
CANONICAL_STAGE18_MR00,Lee2019_MI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,SSL-CBRAMOD,P02-A4-Lee2019_MI-SSL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-Lee2019_MI-SSL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.5066666666666666,0.5133333333333333,0.0066666666666667,0.4831439746693984,0.5119450882510251,0.0288011135816267
CANONICAL_STAGE18_MR00,Lee2019_MI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,SSL,A4-C3-MULTI-PROB-AVG,C3,SSL-CBRAMOD,P02-A4-Lee2019_MI-SSL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-Lee2019_MI-SSL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.5066666666666666,0.54,0.0333333333333334,0.4831439746693984,0.535035209290311,0.0518912346209126
CANONICAL_STAGE18_MR00,Lee2019_MI,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,NEURAL,A4-C1-LONG-3P5S,C1,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.54,0.5083333333333333,-0.0316666666666667,0.4591346153846153,0.4502678779408339,-0.0088667374437814
