dataset_id,role_id,condition_id,condition_short,budget_id,budget_short,n_repeats,repeat_indices,delta_BACC_mean,delta_BACC_median,delta_BACC_sd,delta_BACC_min,delta_BACC_max,delta_BACC_range,sign_consistency,abs_mean_over_repeat_sd,repeat0,repeat1,repeat2
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,0|1|2,-0.0011111111111111,-0.0033333333333334,0.0069388866648871,-0.0066666666666667,0.0066666666666665,0.0133333333333333,MIXED,0.1601281538050963,-0.0066666666666667,-0.0033333333333334,0.0066666666666665
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,FULL_TRAIN,FULL,3,0|1|2,0.0305555555555555,0.0266666666666667,0.0161875580937038,0.0166666666666667,0.0483333333333333,0.0316666666666666,ALL_POSITIVE,1.8875951134001008,0.0266666666666667,0.0166666666666667,0.0483333333333333
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,3,0|1|2,-0.0066666666666665,-0.0133333333333331,0.0115470053837924,-0.0133333333333333,0.0066666666666667,0.02,MIXED,0.577350269189621,-0.0133333333333333,-0.0133333333333331,0.0066666666666667
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,0|1|2,0.0233333333333332,0.0216666666666666,0.0158989866902824,0.0083333333333333,0.0399999999999999,0.0316666666666666,ALL_POSITIVE,1.4675987714106844,0.0083333333333333,0.0399999999999999,0.0216666666666666
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,3,0|1|2,-0.0344444444444443,-0.0333333333333333,0.0450102868900645,-0.0799999999999998,0.01,0.0899999999999998,MIXED,0.7652571628475343,-0.0333333333333333,0.01,-0.0799999999999998
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,3,0|1|2,-0.0372222222222222,-0.0300000000000001,0.0185841429818641,-0.0583333333333333,-0.0233333333333333,0.035,ALL_NEGATIVE,2.00290227311244,-0.0233333333333333,-0.0583333333333333,-0.0300000000000001
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,0|1|2,-3.700743415417188e-17,-0.01,0.0280376730687678,-0.0216666666666667,0.0316666666666666,0.0533333333333333,MIXED,1.3199181709339404e-15,-0.01,-0.0216666666666667,0.0316666666666666
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,C2,FULL_TRAIN,FULL,3,0|1|2,-0.0105555555555555,-0.01,0.0091792842454768,-0.0199999999999999,-0.0016666666666665,0.0183333333333333,ALL_NEGATIVE,1.1499323120707206,-0.01,-0.0016666666666665,-0.0199999999999999
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,3,0|1|2,0.0038888888888889,0.005,0.0183585684909537,-0.015,0.0216666666666667,0.0366666666666667,MIXED,0.2118296364340813,-0.015,0.005,0.0216666666666667
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,0|1|2,0.0233333333333333,0.0249999999999999,0.0158989866902823,0.0066666666666667,0.0383333333333332,0.0316666666666665,ALL_POSITIVE,1.4675987714106893,0.0066666666666667,0.0383333333333332,0.0249999999999999
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,3,0|1|2,0.0055555555555556,0.0033333333333334,0.0118243314743293,-0.005,0.0183333333333334,0.0233333333333334,MIXED,0.4698409857349424,0.0033333333333334,0.0183333333333334,-0.005
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,3,0|1|2,0.0094444444444444,0.01,0.0108440118310795,-0.0016666666666667,0.0199999999999999,0.0216666666666666,MIXED,0.8709363832835497,0.0199999999999999,-0.0016666666666667,0.01
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,0|1|2,0.0027777777777777,0.0016666666666667,0.0150308325094096,-0.0116666666666667,0.0183333333333333,0.03,MIXED,0.1848053177386424,0.0183333333333333,-0.0116666666666667,0.0016666666666667
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,C3,FULL_TRAIN,FULL,3,0|1|2,0.0016666666666667,-0.0083333333333333,0.020275875100994,-0.0116666666666666,0.025,0.0366666666666666,MIXED,0.0821994936526806,-0.0083333333333333,0.025,-0.0116666666666666
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,3,0|1|2,0.0072222222222222,0.0216666666666667,0.0264750056832085,-0.0233333333333333,0.0233333333333333,0.0466666666666666,MIXED,0.2727939819405909,-0.0233333333333333,0.0216666666666667,0.0233333333333333
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,0|1|2,0.0227777777777778,0.0233333333333333,0.0108440118310795,0.0116666666666666,0.0333333333333334,0.0216666666666667,ALL_POSITIVE,2.1004936302720894,0.0333333333333334,0.0233333333333333,0.0116666666666666
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,3,0|1|2,0.0066666666666667,0.0083333333333334,0.0076376261582598,-0.0016666666666667,0.0133333333333334,0.0150000000000001,MIXED,0.8728715609439675,-0.0016666666666667,0.0133333333333334,0.0083333333333334
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,3,0|1|2,0.0283333333333332,0.0249999999999999,0.0072648315725677,0.0233333333333333,0.0366666666666666,0.0133333333333333,ALL_POSITIVE,3.900067475799542,0.0366666666666666,0.0233333333333333,0.0249999999999999
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,0|1|2,0.0144444444444444,0.01,0.0154859554052959,0.0016666666666667,0.0316666666666666,0.0299999999999999,ALL_POSITIVE,0.9327448043344304,0.0316666666666666,0.0016666666666667,0.01
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,C1,FULL_TRAIN,FULL,3,0|1|2,0.0541681638519583,0.0620733021918793,0.0163267901599391,0.0353934602946459,0.0650377290693496,0.0296442687747037,ALL_POSITIVE,3.3177472927207794,0.0353934602946459,0.0620733021918793,0.0650377290693496
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,3,0|1|2,0.0126063001557072,0.0121272008623788,0.0088132216278302,0.0040424002874595,0.0216492993172834,0.0176068990298239,ALL_POSITIVE,1.4303850156110125,0.0040424002874595,0.0216492993172834,0.0121272008623788
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,0|1|2,0.004521499580788,0.0045813869924541,0.0108696889510086,-0.0063780093424362,0.0153611210923463,0.0217391304347826,MIXED,0.4159732262042787,0.0153611210923463,0.0045813869924541,-0.0063780093424362
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,3,0|1|2,0.0299437058330338,0.0306324110671937,0.0113792779902605,0.0182357168523176,0.0409629895795903,0.0227272727272727,ALL_POSITIVE,2.6314240550817507,0.0409629895795903,0.0182357168523176,0.0306324110671937
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,3,0|1|2,0.0020661157024792,0.0209306503772906,0.0547748139394304,-0.0596478620194035,0.0449155587495507,0.1045634207689543,MIXED,0.0377201774663076,0.0209306503772906,0.0449155587495507,-0.0596478620194035
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,0|1|2,0.0008084800574919,-0.0039525691699604,0.0090355101340708,-0.0048508803449515,0.0112288896873877,0.0160797700323392,MIXED,0.0894780754484822,-0.0039525691699604,-0.0048508803449515,0.0112288896873877
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,FULL_TRAIN,FULL,3,0|1|2,0.0305126362438615,0.0189543657923103,0.0244235483737935,0.0140136543298599,0.0585698886094142,0.0445562342795543,ALL_POSITIVE,1.24931217106035,0.0189543657923103,0.0140136543298599,0.0585698886094142
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS,128,3,0|1|2,0.0134147802131991,0.0189543657923103,0.0348716406880948,-0.023895077254761,0.0451850521020481,0.0690801293568091,MIXED,0.384690251117979,0.0189543657923103,-0.023895077254761,0.0451850521020481
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,0|1|2,0.0139238232123607,0.0103305785123966,0.00637990690067,0.0101509162773985,0.0212899748472871,0.0111390585698886,ALL_POSITIVE,2.1824492785150764,0.0212899748472871,0.0101509162773985,0.0103305785123966
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS,256,3,0|1|2,0.023865133548928,0.0218289615522817,0.0169800614956667,0.00799496945742,0.0417714696370822,0.0337765001796621,ALL_POSITIVE,1.405479806714382,0.0218289615522817,0.00799496945742,0.0417714696370822
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:64_PER_CLASS,64,3,0|1|2,0.0052401485207809,0.0290154509522098,0.0547720392723173,-0.0574020840819259,0.0441070786920589,0.1015091627739849,MIXED,0.0956719631111012,0.0441070786920589,0.0290154509522098,-0.0574020840819259
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,0|1|2,0.0027847646424721,0.0004491555874954,0.0110561634511429,-0.0069169960474308,0.0148221343873517,0.0217391304347825,MIXED,0.2518744096700419,0.0004491555874954,-0.0069169960474308,0.0148221343873517
PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,FULL_TRAIN,FULL,3,0|1|2,0.0484788597436819,0.0326985267696731,0.0317075002497024,0.0277578153072224,0.0849802371541502,0.0572224218469278,ALL_POSITIVE,1.5289398206071705,0.0277578153072224,0.0326985267696731,0.0849802371541502
