dataset_id,model_id,metric_id,budget_per_class,budget_id,point_status,value,attempted_repeats,successful_repeats,non_success_repeats,budget_repeat_id,single_frozen_subset_limitation,integration_revision,integration_source,aggregation_rule,source_run_cell_ids_json,successful_repeat_count,planned_repeat_count,scientific_numeric_result_recomputed,scientific_numeric_result_aggregated_from_existing_metrics,full_train_BACC,branch_id,delta_vs_full_BACC,retained_fraction_of_full,budget_label,rank_within_dataset_budget
BNCI2014_001,SSL-CBRAMOD,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5166666666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.5506944444444445,SSL-CBRAMOD,-0.03402777777777777,0.9382093316519546,32,2.0
Lee2019_MI,CLS-CSP-LDA,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,EXPLICIT_NON_SUCCESS,,1,0,1,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7150000000000001,CLS-CSP-LDA,,,1,
Lee2019_MI,CLS-CSP-LDA,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7150000000000001,CLS-CSP-LDA,-0.21500000000000008,0.6993006993006993,2,1.0
Lee2019_MI,CLS-CSP-LDA,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.4966666666666667,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7150000000000001,CLS-CSP-LDA,-0.21833333333333338,0.6946386946386947,4,3.0
Lee2019_MI,CLS-CSP-LDA,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.4616666666666666,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7150000000000001,CLS-CSP-LDA,-0.25333333333333347,0.6456876456876456,8,4.0
Lee2019_MI,CLS-CSP-LDA,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5666666666666667,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7150000000000001,CLS-CSP-LDA,-0.14833333333333343,0.7925407925407925,16,2.0
Lee2019_MI,CLS-CSP-LDA,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5183333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7150000000000001,CLS-CSP-LDA,-0.19666666666666677,0.7249417249417248,32,3.0
Lee2019_MI,RIE-TS-LR,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5016666666666667,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7466666666666667,RIE-TS-LR,-0.245,0.671875,1,3.0
Lee2019_MI,RIE-TS-LR,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.4933333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7466666666666667,RIE-TS-LR,-0.2533333333333334,0.6607142857142856,2,3.0
Lee2019_MI,RIE-TS-LR,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.4983333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7466666666666667,RIE-TS-LR,-0.2483333333333334,0.6674107142857142,4,2.0
