dataset_id,model_id,budget_per_class,BACC,status,delta_from_previous_budget_BACC,delta_vs_full_BACC,full_train_BACC
PhysioNetMI,CLS-CSP-LDA,16,0.5278476464247215,VALID,0.011857707509881354,-0.06817112400116354,0.596018770425885
PhysioNetMI,CLS-CSP-LDA,32,0.5038627380524614,VALID,-0.023984908372260083,-0.09215603237342362,0.596018770425885
PhysioNetMI,DNN-EEGNET,1,0.4917355371900826,VALID,,-0.1357754564276304,0.627510993617713
PhysioNetMI,DNN-EEGNET,2,0.4969816744520302,VALID,0.005246137261947559,-0.13052931916568283,0.627510993617713
PhysioNetMI,DNN-EEGNET,4,0.4984189723320158,VALID,0.001437297879985644,-0.1290920212856972,0.627510993617713
PhysioNetMI,DNN-EEGNET,8,0.4970535393460294,VALID,-0.0013654329859864034,-0.1304574542716836,0.627510993617713
PhysioNetMI,DNN-EEGNET,16,0.5255300035932446,VALID,0.028476464247215227,-0.10198099002446837,0.627510993617713
PhysioNetMI,DNN-EEGNET,32,0.5262486525332375,VALID,0.0007186489399928497,-0.10126234108447552,0.627510993617713
PhysioNetMI,RIE-TS-LR,1,0.5130255120373697,VALID,,-0.10020233389798616,0.6132278459353558
PhysioNetMI,RIE-TS-LR,2,0.5,VALID,-0.01302551203736968,-0.11322784593535584,0.6132278459353558
PhysioNetMI,RIE-TS-LR,4,0.511498383039885,VALID,0.01149838303988504,-0.1017294628954708,0.6132278459353558
PhysioNetMI,RIE-TS-LR,8,0.5020661157024793,VALID,-0.009432267337405764,-0.11116173023287657,0.6132278459353558
PhysioNetMI,RIE-TS-LR,16,0.5482393100970175,VALID,0.046173194394538264,-0.0649885358383383,0.6132278459353558
PhysioNetMI,RIE-TS-LR,32,0.5215594681997844,VALID,-0.02667984189723316,-0.09166837773557146,0.6132278459353558
PhysioNetMI,SSL-CBRAMOD,1,0.4943406395975566,VALID,,-0.050684855329124145,0.5450254949266807
PhysioNetMI,SSL-CBRAMOD,2,0.5038627380524614,VALID,0.009522098454904815,-0.04116275687421933,0.5450254949266807
PhysioNetMI,SSL-CBRAMOD,4,0.4932446999640675,VALID,-0.0106180380883939,-0.05178079496261323,0.5450254949266807
PhysioNetMI,SSL-CBRAMOD,8,0.505407833273446,VALID,0.01216313330937846,-0.03961766165323477,0.5450254949266807
PhysioNetMI,SSL-CBRAMOD,16,0.5064858066834351,VALID,0.0010779734099891636,-0.03853968824324561,0.5450254949266807
PhysioNetMI,SSL-CBRAMOD,32,0.4855371900826446,VALID,-0.020948616600790504,-0.05948830484403611,0.5450254949266807
