dataset_id,model_id,metric_id,budget_per_class,budget_id,point_status,value,attempted_repeats,successful_repeats,non_success_repeats,budget_repeat_id,single_frozen_subset_limitation,branch_id,full_train_BACC,delta_vs_full_BACC,retained_fraction_of_full,budget_label,rank_within_dataset_budget
BNCI2014_001,SSL-CBRAMOD,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5277777777777778,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.5506944444444445,-0.022916666666666696,0.9583858764186632,16,2.0
BNCI2014_001,SSL-CBRAMOD,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5166666666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.5506944444444445,-0.03402777777777777,0.9382093316519546,32,2.0
Lee2019_MI,CLS-CSP-LDA,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,EXPLICIT_NON_SUCCESS,,1,0,1,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.715,,,1,
Lee2019_MI,CLS-CSP-LDA,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.715,-0.21499999999999997,0.6993006993006994,2,1.0
Lee2019_MI,CLS-CSP-LDA,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.4966666666666667,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.715,-0.21833333333333327,0.6946386946386948,4,3.0
Lee2019_MI,CLS-CSP-LDA,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.4616666666666666,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.715,-0.25333333333333335,0.6456876456876457,8,4.0
Lee2019_MI,CLS-CSP-LDA,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5666666666666667,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.715,-0.14833333333333332,0.7925407925407926,16,2.0
Lee2019_MI,CLS-CSP-LDA,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5183333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.715,-0.19666666666666666,0.7249417249417249,32,3.0
Lee2019_MI,RIE-TS-LR,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5016666666666667,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.7466666666666666,-0.24499999999999988,0.6718750000000001,1,3.0
Lee2019_MI,RIE-TS-LR,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.4933333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.7466666666666666,-0.2533333333333333,0.6607142857142857,2,3.0
Lee2019_MI,RIE-TS-LR,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.4983333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.7466666666666666,-0.2483333333333333,0.6674107142857143,4,2.0
Lee2019_MI,RIE-TS-LR,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5349999999999999,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.7466666666666666,-0.21166666666666667,0.7165178571428571,8,1.0
Lee2019_MI,RIE-TS-LR,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5700000000000001,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.7466666666666666,-0.17666666666666653,0.7633928571428573,16,1.0
Lee2019_MI,RIE-TS-LR,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5283333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.7466666666666666,-0.21833333333333327,0.7075892857142858,32,1.0
Lee2019_MI,DNN-EEGNET,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5273333333333333,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.7416666666666667,-0.21433333333333338,0.7110112359550561,1,1.0
Lee2019_MI,DNN-EEGNET,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.4983333333333333,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.7416666666666667,-0.2433333333333334,0.6719101123595504,2,2.0
Lee2019_MI,DNN-EEGNET,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5243333333333333,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.7416666666666667,-0.21733333333333338,0.7069662921348314,4,1.0
Lee2019_MI,DNN-EEGNET,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5226666666666666,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.7416666666666667,-0.21900000000000008,0.7047191011235954,8,2.0
Lee2019_MI,DNN-EEGNET,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.498,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.7416666666666667,-0.2436666666666667,0.6714606741573034,16,3.0
Lee2019_MI,DNN-EEGNET,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5226666666666666,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.7416666666666667,-0.21900000000000008,0.7047191011235954,32,2.0
Lee2019_MI,SSL-CBRAMOD,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5026666666666666,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.668,-0.16533333333333344,0.7524950099800398,1,2.0
Lee2019_MI,SSL-CBRAMOD,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.484,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.668,-0.18400000000000005,0.7245508982035928,2,4.0
Lee2019_MI,SSL-CBRAMOD,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.4956666666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.668,-0.17233333333333334,0.7420159680638723,4,4.0
Lee2019_MI,SSL-CBRAMOD,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5106666666666666,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.668,-0.15733333333333344,0.7644710578842314,8,3.0
Lee2019_MI,SSL-CBRAMOD,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.488,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.668,-0.18000000000000005,0.7305389221556886,16,4.0
Lee2019_MI,SSL-CBRAMOD,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.4926666666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.668,-0.17533333333333334,0.7375249500998005,32,4.0
PhysioNetMI,CLS-CSP-LDA,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,EXPLICIT_NON_SUCCESS,,1,0,1,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.596018770425885,,,1,
PhysioNetMI,CLS-CSP-LDA,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5458138699245418,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.596018770425885,-0.050204900501343186,0.9157662426210683,2,1.0
PhysioNetMI,CLS-CSP-LDA,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5018864534674811,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.596018770425885,-0.09413231695840396,0.8420648448854359,4,2.0
PhysioNetMI,CLS-CSP-LDA,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5159899389148401,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.596018770425885,-0.0800288315110449,0.865727665835322,8,1.0
PhysioNetMI,CLS-CSP-LDA,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5278476464247215,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.596018770425885,-0.06817112400116354,0.8856225216657994,16,2.0
PhysioNetMI,CLS-CSP-LDA,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5038627380524614,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,CLS-CSP-LDA,0.596018770425885,-0.09215603237342362,0.8453806541905156,32,3.0
PhysioNetMI,RIE-TS-LR,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5130255120373697,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.6132278459353558,-0.10020233389798616,0.8365985260419027,1,1.0
PhysioNetMI,RIE-TS-LR,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.6132278459353558,-0.11322784593535584,0.8153576249254475,2,3.0
PhysioNetMI,RIE-TS-LR,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.511498383039885,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.6132278459353558,-0.1017294628954708,0.834108213497215,4,1.0
PhysioNetMI,RIE-TS-LR,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5020661157024793,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.6132278459353558,-0.11116173023287657,0.8187268713094369,8,3.0
PhysioNetMI,RIE-TS-LR,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5482393100970175,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.6132278459353558,-0.0649885358383383,0.8940222035429403,16,1.0
PhysioNetMI,RIE-TS-LR,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5215594681997844,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,RIE-TS-LR,0.6132278459353558,-0.09166837773557146,0.8505149784975113,32,2.0
PhysioNetMI,DNN-EEGNET,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.4917355371900826,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.627510993617713,-0.1357754564276304,0.7836285613980073,1,3.0
PhysioNetMI,DNN-EEGNET,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.4969816744520302,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.627510993617713,-0.13052931916568283,0.791988793035867,2,4.0
PhysioNetMI,DNN-EEGNET,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.4984189723320158,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.627510993617713,-0.1290920212856972,0.7942792674571985,4,3.0
PhysioNetMI,DNN-EEGNET,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.4970535393460294,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.627510993617713,-0.1304574542716836,0.7921033167569336,8,4.0
PhysioNetMI,DNN-EEGNET,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5255300035932446,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.627510993617713,-0.10198099002446837,0.837483341229562,16,3.0
PhysioNetMI,DNN-EEGNET,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5262486525332375,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,DNN-EEGNET,0.627510993617713,-0.10126234108447552,0.8386285784402278,32,1.0
PhysioNetMI,SSL-CBRAMOD,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.4943406395975566,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.5450254949266807,-0.050684855329124145,0.9070046157456496,1,2.0
PhysioNetMI,SSL-CBRAMOD,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5038627380524614,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.5450254949266807,-0.04116275687421933,0.9244755387456568,2,2.0
PhysioNetMI,SSL-CBRAMOD,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.4932446999640675,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.5450254949266807,-0.05178079496261323,0.9049938114003657,4,4.0
PhysioNetMI,SSL-CBRAMOD,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.505407833273446,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.5450254949266807,-0.03961766165323477,0.9273104432324504,8,2.0
PhysioNetMI,SSL-CBRAMOD,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5064858066834351,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.5450254949266807,-0.03853968824324561,0.9292882835720737,16,4.0
PhysioNetMI,SSL-CBRAMOD,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.4855371900826446,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,SSL-CBRAMOD,0.5450254949266807,-0.05948830484403611,0.8908522529720583,32,4.0
