source,dataset_id,budget_id,budget_short,model_repeat_index,role_id,condition_id,condition_short,resolved_branch,a4_run_cell_id,c0_run_cell_id,BACC_C0,BACC_A4,delta_BACC,F1_C0,F1_A4,delta_F1
CANONICAL_STAGE18_MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,DNN-EEGNET,P02-A4-BNCI2014_001-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-BNCI2014_001-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.4895833333333333,0.5104166666666666,0.020833333333333315,0.48854122621564483,0.3560724989296418,-0.132468727286003
CANONICAL_STAGE18_MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,SSL-CBRAMOD,P02-A4-BNCI2014_001-SSL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-BNCI2014_001-SSL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.5347222222222222,0.5520833333333333,0.01736111111111105,0.5302823758519961,0.5248071831472314,-0.005475192704764709
CANONICAL_STAGE18_MR00,BNCI2014_001,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,SSL,A4-C3-MULTI-PROB-AVG,C3,SSL-CBRAMOD,P02-A4-BNCI2014_001-SSL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-BNCI2014_001-SSL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.5347222222222222,0.5173611111111112,-0.01736111111111105,0.5302823758519961,0.49768492377188034,-0.032597452080115774
CANONICAL_STAGE18_MR00,Lee2019_MI,FULL_TRAIN,FULL,0,NEURAL,A4-C1-LONG-3P5S,C1,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,0.7383333333333333,0.7683333333333333,0.030000000000000027,0.7383326064794624,0.7671373247596684,0.028804718280206032
CANONICAL_STAGE18_MR00,Lee2019_MI,FULL_TRAIN,FULL,0,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,0.7383333333333333,0.7666666666666666,0.02833333333333332,0.7383326064794624,0.7666018338427341,0.028269227363271643
CANONICAL_STAGE18_MR00,Lee2019_MI,FULL_TRAIN,FULL,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,0.7383333333333333,0.765,0.026666666666666727,0.7383326064794624,0.764983679422182,0.026651072942719622
CANONICAL_STAGE18_MR00,Lee2019_MI,FULL_TRAIN,FULL,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,SSL-CBRAMOD,P02-A4-Lee2019_MI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,P02-A4-Lee2019_MI-SSL-A4-C0-CORE-FULL_TRAIN-MR00,0.6916666666666667,0.6816666666666666,-0.010000000000000009,0.6915629975630698,0.6803160017741625,-0.01124699578890731
CANONICAL_STAGE18_MR00,Lee2019_MI,FULL_TRAIN,FULL,0,SSL,A4-C3-MULTI-PROB-AVG,C3,SSL-CBRAMOD,P02-A4-Lee2019_MI-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,P02-A4-Lee2019_MI-SSL-A4-C0-CORE-FULL_TRAIN-MR00,0.6916666666666667,0.6833333333333333,-0.008333333333333304,0.6915629975630698,0.6830480766022754,-0.008514920960794425
CANONICAL_STAGE18_MR00,Lee2019_MI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,NEURAL,A4-C1-LONG-3P5S,C1,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.52,0.5083333333333333,-0.011666666666666714,0.5094476744186047,0.4461809955600612,-0.06326667885854353
CANONICAL_STAGE18_MR00,Lee2019_MI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.52,0.5166666666666666,-0.0033333333333334103,0.5094476744186047,0.5154553049289892,0.006007630510384443
CANONICAL_STAGE18_MR00,Lee2019_MI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,NEURAL,A4-C3-MULTI-PROB-AVG,C3,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.52,0.5283333333333333,0.008333333333333304,0.5094476744186047,0.5128403017062065,0.0033926272876018126
CANONICAL_STAGE18_MR00,Lee2019_MI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,SSL,A4-C2-MULTI-HARD-VOTE,C2,SSL-CBRAMOD,P02-A4-Lee2019_MI-SSL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-Lee2019_MI-SSL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.5066666666666666,0.5133333333333333,0.00666666666666671,0.4831439746693984,0.5119450882510251,0.028801113581626736
CANONICAL_STAGE18_MR00,Lee2019_MI,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,0,SSL,A4-C3-MULTI-PROB-AVG,C3,SSL-CBRAMOD,P02-A4-Lee2019_MI-SSL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,P02-A4-Lee2019_MI-SSL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00,0.5066666666666666,0.54,0.03333333333333344,0.4831439746693984,0.535035209290311,0.05189123462091261
CANONICAL_STAGE18_MR00,Lee2019_MI,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,NEURAL,A4-C1-LONG-3P5S,C1,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.54,0.5083333333333333,-0.03166666666666673,0.45913461538461536,0.4502678779408339,-0.00886673744378147
CANONICAL_STAGE18_MR00,Lee2019_MI,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,0,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,DNN-EEGNET,P02-A4-Lee2019_MI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,P02-A4-Lee2019_MI-NEURAL-A4-C0-CORE-P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS-MR00,0.54,0.5333333333333333,-0.00666666666666671,0.45913461538461536,0.4426677636380525,-0.01646685174656287
