file,status,dataset_id,budget_id,budget_short,role_id,model_repeat_index,branch,member,recipe_id,execution_device,epochs_completed,best_epoch,test_loaded_after_checkpoint_sealed,test_set_used_for_selection,class_weight_frozen_from_a0,checkpoint_sha256_present,reason
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__SSL-CBRAMOD__2__2.json,SUCCESS,,,None,,,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,73.0,33.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__SSL-CBRAMOD__2__3.json,SUCCESS,,,None,,,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,66.0,26.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:128_PER_CLASS__SSL-CBRAMOD__2__LONG.json,INPUT_INCOMPATIBLE,,,None,,,SSL-CBRAMOD,LONG,,,,,,,,False,CBRAMOD_A4_LONG_INCOMPATIBLE_FAIL_CLOSED_NO_PAD_NO_CROP
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__DNN-EEGNET__0__1.json,SUCCESS,,,None,,,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,127.0,7.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__DNN-EEGNET__0__2.json,SUCCESS,,,None,,,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,121.0,1.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__DNN-EEGNET__0__3.json,SUCCESS,,,None,,,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,145.0,25.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__DNN-EEGNET__0__LONG.json,SUCCESS,,,None,,,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,124.0,4.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__1.json,SUCCESS,,,None,,,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,59.0,19.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__2.json,SUCCESS,,,None,,,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,65.0,25.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__3.json,SUCCESS,,,None,,,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,42.0,2.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__LONG.json,INPUT_INCOMPATIBLE,,,None,,,SSL-CBRAMOD,LONG,,,,,,,,False,CBRAMOD_A4_LONG_INCOMPATIBLE_FAIL_CLOSED_NO_PAD_NO_CROP
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__1.json,SUCCESS,,,None,,,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,161.0,41.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__2.json,SUCCESS,,,None,,,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,155.0,35.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__3.json,SUCCESS,,,None,,,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,121.0,1.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__LONG.json,SUCCESS,,,None,,,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,429.0,309.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__1.json,SUCCESS,,,None,,,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,123.0,3.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__2.json,SUCCESS,,,None,,,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,387.0,267.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__3.json,SUCCESS,,,None,,,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,123.0,3.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__LONG.json,SUCCESS,,,None,,,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,528.0,408.0,True,False,True,True,
