file,status,branch,member,recipe_id,execution_device,epochs_completed,best_epoch,test_loaded_after_checkpoint_sealed,test_set_used_for_selection,class_weight_frozen_from_a0
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,131.0,11.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,270.0,150.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,121.0,1.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,131.0,11.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,82.0,42.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,42.0,2.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,93.0,53.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,42.0,2.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,127.0,87.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,57.0,17.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__DNN-EEGNET__0__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,403.0,283.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__DNN-EEGNET__0__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,370.0,250.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__DNN-EEGNET__0__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,418.0,298.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__DNN-EEGNET__0__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,232.0,112.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__SSL-CBRAMOD__0__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,70.0,30.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__SSL-CBRAMOD__0__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,95.0,55.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__SSL-CBRAMOD__0__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,42.0,2.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__SSL-CBRAMOD__0__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__DNN-EEGNET__0__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,330.0,210.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__DNN-EEGNET__0__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,242.0,122.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__DNN-EEGNET__0__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,282.0,162.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__DNN-EEGNET__0__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,131.0,11.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__SSL-CBRAMOD__0__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,46.0,6.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__SSL-CBRAMOD__0__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,85.0,45.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__SSL-CBRAMOD__0__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,72.0,32.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__SSL-CBRAMOD__0__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__1__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,181.0,61.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__1__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,299.0,179.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__1__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,253.0,133.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__1__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,274.0,154.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__2__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,417.0,297.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__2__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,140.0,20.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__2__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,131.0,11.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__2__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,266.0,146.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__1__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,43.0,3.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__1__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,63.0,23.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__1__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,65.0,25.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__1__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__2__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,68.0,28.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__2__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,112.0,72.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__2__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,63.0,23.0,True,False,True
A4MEM-Lee2019_MI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__2__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-PhysioNetMI__FULL_TRAIN__DNN-EEGNET__1__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,138.0,18.0,True,False,True
A4MEM-PhysioNetMI__FULL_TRAIN__DNN-EEGNET__1__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,151.0,31.0,True,False,True
A4MEM-PhysioNetMI__FULL_TRAIN__DNN-EEGNET__1__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,143.0,23.0,True,False,True
A4MEM-PhysioNetMI__FULL_TRAIN__DNN-EEGNET__1__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,167.0,47.0,True,False,True
A4MEM-PhysioNetMI__FULL_TRAIN__DNN-EEGNET__2__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,145.0,25.0,True,False,True
A4MEM-PhysioNetMI__FULL_TRAIN__DNN-EEGNET__2__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,155.0,35.0,True,False,True
A4MEM-PhysioNetMI__FULL_TRAIN__DNN-EEGNET__2__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,152.0,32.0,True,False,True
A4MEM-PhysioNetMI__FULL_TRAIN__DNN-EEGNET__2__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,147.0,27.0,True,False,True
A4MEM-PhysioNetMI__FULL_TRAIN__SSL-CBRAMOD__1__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,43.0,3.0,True,False,True
A4MEM-PhysioNetMI__FULL_TRAIN__SSL-CBRAMOD__1__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,54.0,14.0,True,False,True
A4MEM-PhysioNetMI__FULL_TRAIN__SSL-CBRAMOD__1__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,46.0,6.0,True,False,True
A4MEM-PhysioNetMI__FULL_TRAIN__SSL-CBRAMOD__1__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-PhysioNetMI__FULL_TRAIN__SSL-CBRAMOD__2__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,48.0,8.0,True,False,True
A4MEM-PhysioNetMI__FULL_TRAIN__SSL-CBRAMOD__2__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,46.0,6.0,True,False,True
A4MEM-PhysioNetMI__FULL_TRAIN__SSL-CBRAMOD__2__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:1,46.0,6.0,True,False,True
A4MEM-PhysioNetMI__FULL_TRAIN__SSL-CBRAMOD__2__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__DNN-EEGNET__0__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,202.0,82.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__DNN-EEGNET__0__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,375.0,255.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__DNN-EEGNET__0__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,173.0,53.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__DNN-EEGNET__0__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,177.0,57.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,46.0,6.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,73.0,33.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,53.0,13.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS__SSL-CBRAMOD__0__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,441.0,321.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,121.0,1.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,128.0,8.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__1__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,137.0,17.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,122.0,2.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,243.0,123.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,213.0,93.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__DNN-EEGNET__2__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,128.0,8.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,41.0,1.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,42.0,2.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,42.0,2.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,63.0,23.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,43.0,3.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,61.0,21.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__DNN-EEGNET__0__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,208.0,88.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__DNN-EEGNET__0__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,199.0,79.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__DNN-EEGNET__0__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,194.0,74.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__DNN-EEGNET__0__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,175.0,55.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__SSL-CBRAMOD__0__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,85.0,45.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__SSL-CBRAMOD__0__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,87.0,47.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__SSL-CBRAMOD__0__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,103.0,63.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS__SSL-CBRAMOD__0__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__DNN-EEGNET__0__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,121.0,1.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__DNN-EEGNET__0__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,316.0,196.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__DNN-EEGNET__0__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,122.0,2.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__DNN-EEGNET__0__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,143.0,23.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__SSL-CBRAMOD__0__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,41.0,1.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__SSL-CBRAMOD__0__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,70.0,30.0,True,False,True
