dataset_id,role_id,condition_id,condition_short,budget_id,budget_short,n_repeats,repeat_indices,delta_BACC_mean,delta_BACC_median,delta_BACC_sd,delta_BACC_min,delta_BACC_max,delta_BACC_range,sign_consistency,abs_mean_over_repeat_sd,repeat0,repeat1,repeat2
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",0.025462962962962965,0.010416666666666685,0.032262407094366556,0.00347222222222221,0.0625,0.05902777777777779,ALL_POSITIVE,0.7892456036675929,0.0625,0.00347222222222221,0.010416666666666685
BNCI2014_001,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",0.009259259259259264,0.01736111111111105,0.014032819042803388,-0.00694444444444442,0.01736111111111116,0.02430555555555558,MIXED,0.6598288790738591,0.01736111111111105,0.01736111111111116,-0.00694444444444442
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,C3,FULL_TRAIN,FULL,3,"[0, 1, 2]",0.05092592592592593,0.04861111111111105,0.038247017689486795,0.01388888888888895,0.09027777777777779,0.07638888888888884,ALL_POSITIVE,1.3315005718713662,0.09027777777777779,0.01388888888888895,0.04861111111111105
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",0.040509259259259224,0.04166666666666663,0.01565711719730177,0.02430555555555547,0.05555555555555558,0.03125000000000011,ALL_POSITIVE,2.587274448340994,0.02430555555555547,0.04166666666666663,0.05555555555555558
BNCI2014_001,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",0.008101851851851897,-0.01041666666666663,0.03824701768948681,-0.01736111111111105,0.05208333333333337,0.06944444444444442,MIXED,0.21182963643408206,-0.01736111111111105,0.05208333333333337,-0.01041666666666663
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,C1,FULL_TRAIN,FULL,3,"[0, 1, 2]",0.02722222222222222,0.02833333333333332,0.0034694433324435722,0.023333333333333317,0.030000000000000027,0.00666666666666671,ALL_POSITIVE,7.846279536449229,0.030000000000000027,0.023333333333333317,0.02833333333333332
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",-0.0022222222222222365,-0.010000000000000009,0.014938144066387528,-0.011666666666666714,0.015000000000000013,0.026666666666666727,MIXED,0.14876160066112107,-0.011666666666666714,-0.010000000000000009,0.015000000000000013
Lee2019_MI,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",-0.010555555555555615,-0.021666666666666723,0.028349668493717946,-0.03166666666666673,0.021666666666666612,0.053333333333333344,MIXED,0.3723343557930718,-0.03166666666666673,-0.021666666666666723,0.021666666666666612
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,FULL_TRAIN,FULL,3,"[0, 1, 2]",0.022222222222222254,0.02833333333333332,0.01357421302541179,0.00666666666666671,0.03166666666666673,0.025000000000000022,ALL_POSITIVE,1.637091018140119,0.02833333333333332,0.00666666666666671,0.03166666666666673
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",0.007777777777777754,-0.0033333333333334103,0.022194427061597986,-0.006666666666666654,0.033333333333333326,0.03999999999999998,MIXED,0.35043832202523,-0.0033333333333334103,0.033333333333333326,-0.006666666666666654
