run_cell_id,dataset_id,branch_id,condition_id,budget_id,model_repeat_index,subject_id,n,BACC,F1_MACRO,ACC,ROC_AUC
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,39,45,0.5988142292490118,0.5982142857142857,0.6,0.6581027667984191
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,40,45,0.6339285714285714,0.6153846153846154,0.6222222222222222,0.6944444444444444
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,47,45,0.5714285714285714,0.537037037037037,0.5555555555555556,0.6646825396825397
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,48,45,0.5859683794466404,0.5166760881854155,0.5777777777777777,0.7529644268774704
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,57,45,0.6755952380952381,0.6640119462419114,0.6666666666666666,0.6924603174603176
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,6,45,0.40773809523809523,0.39522150323544053,0.4,0.4543650793650793
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,71,45,0.7806324110671936,0.775,0.7777777777777778,0.8201581027667985
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,93,45,0.8675889328063241,0.866600790513834,0.8666666666666667,0.9466403162055336
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,CLASSICAL_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,98,45,0.4288537549407115,0.36961206896551724,0.4222222222222222,0.4762845849802372
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,6,45,0.5059523809523809,0.4623376623376623,0.4888888888888889,0.49404761904761907
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,27,45,0.5533596837944664,0.55,0.5555555555555556,0.5118577075098815
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,39,45,0.5612648221343874,0.5273109243697479,0.5555555555555556,0.5889328063241106
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,40,45,0.6011904761904763,0.599802371541502,0.6,0.6051587301587302
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,47,45,0.5327380952380952,0.5324096981692232,0.5333333333333333,0.5892857142857142
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,48,45,0.7579051383399209,0.7536087605774017,0.7555555555555555,0.8122529644268774
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,57,45,0.6845238095238095,0.685,0.6888888888888889,0.7817460317460317
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,71,45,0.6086956521739131,0.533410138248848,0.6,0.9407114624505928
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,93,45,0.8883399209486166,0.8886689757545769,0.8888888888888888,0.9169960474308301
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,98,45,0.5563241106719368,0.5553359683794465,0.5555555555555556,0.6007905138339922
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,107,45,0.5476190476190477,0.445165476963011,0.5777777777777777,0.7956349206349207
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,107,45,0.5238095238095238,0.39839572192513373,0.5555555555555556,0.7956349206349207
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,27,45,0.5780632411067194,0.5777777777777777,0.5777777777777777,0.616600790513834
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,39,45,0.5385375494071146,0.509090909090909,0.5333333333333333,0.598814229249012
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,40,45,0.6636904761904762,0.6218487394957983,0.6444444444444445,0.8492063492063492
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,47,45,0.48214285714285715,0.4444444444444444,0.4666666666666667,0.5416666666666666
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,48,45,0.8013833992094861,0.7996041563582384,0.8,0.8359683794466403
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,57,45,0.6696428571428572,0.6666666666666666,0.6666666666666666,0.7341269841269842
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,6,45,0.5803571428571428,0.5,0.5555555555555556,0.6468253968253969
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,71,45,0.6304347826086957,0.567552289429056,0.6222222222222222,0.9268774703557312
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,93,45,0.8675889328063241,0.866600790513834,0.8666666666666667,0.9209486166007905
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C1-LONG-3P5S,FULL_TRAIN,0,98,45,0.6689723320158103,0.6640119462419114,0.6666666666666666,0.6581027667984191
