run_cell_id,dataset_id,branch_id,condition_id,budget_id,model_repeat_index,subject_id,session_id,n,BACC,F1_MACRO,ACC,ROC_AUC
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR02,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,2,39,0,45,0.491106719367589,0.48481831757093086,0.4888888888888889,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR02,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,2,40,0,45,0.4910714285714286,0.4888888888888889,0.4888888888888889,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR02,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,2,47,0,45,0.6011904761904763,0.599802371541502,0.6,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR02,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,2,48,0,45,0.5108695652173914,0.5108695652173914,0.5111111111111111,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR02,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,2,57,0,45,0.6041666666666666,0.599802371541502,0.6,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR02,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,2,71,0,45,0.48814229249011853,0.48787728847105394,0.4888888888888889,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR02,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,2,93,0,45,0.6482213438735178,0.6356275303643725,0.6444444444444445,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR02,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,2,98,0,45,0.46739130434782605,0.46640316205533594,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR02,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,2,107,0,45,0.4255952380952381,0.42193675889328064,0.4222222222222222,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR03,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,3,6,0,45,0.5297619047619048,0.5296167247386759,0.5333333333333333,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR03,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,3,27,0,45,0.5098814229249011,0.5089285714285714,0.5111111111111111,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR03,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,3,39,0,45,0.5108695652173914,0.5108695652173914,0.5111111111111111,0.5
