analysis_family,dataset_id,comparison_id,n,effect_or_delta,raw_p,adjusted_p,interpretive_role
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-FULL_TRAIN-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,11.0,0.0,1.0,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,11.0,0.0,1.0,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,11.0,0.0,1.0,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,11.0,0.0,1.0,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,11.0,0.0,0.65234375,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,11.0,0.0,0.91015625,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,11.0,-0.0029644268774703,0.1640625,0.328125,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR00:VS:A4-C0-CORE,11.0,0.0,0.8203125,0.8203125,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,11.0,-0.0059523809523809,0.078125,0.234375,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,11.0,0.0,1.0,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,11.0,0.0,0.9453125,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,11.0,0.0,1.0,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,11.0,0.0,1.0,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,11.0,0.0,1.0,1.0,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR01:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR02:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR03:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
A4_C1_C3,PhysioNetMI,P02-A4-PhysioNetMI-NEURAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR04:VS:A4-C0-CORE,,,,,CANONICAL_RESOURCE_CONSTRAINED_A4
