dataset_id,branch_id,participants,BACC_mean,BACC_median,BACC_sd,BACC_min,BACC_max,F1_mean,ACC_mean,ROC_AUC_mean
Lee2019_MI,SSL-CBRAMOD,6,0.668,0.643,0.16303619230097344,0.514,0.892,0.6463584478285896,0.668,0.7288933333333333
PhysioNetMI,CLS-CSP-LDA,11,0.596018770425885,0.5424901185770751,0.14774397990269145,0.4446640316205533,0.8675889328063241,0.544873525988706,0.5858585858585859,0.6366923041824228
PhysioNetMI,CLS-FBCSP-LR,11,0.5643960782300703,0.5476190476190476,0.12217401690101139,0.4209486166007905,0.8448616600790514,0.532205378642895,0.5595959595959595,0.6295065277278716
PhysioNetMI,DIAG-LOGVAR,11,0.5491044693119792,0.5178571428571429,0.08330839390919734,0.4545454545454545,0.7302371541501976,0.46323254925673846,0.5535353535353535,0.6266518944384557
PhysioNetMI,DNN-EEGNET,11,0.627510993617713,0.5785714285714285,0.1241851833321179,0.5083333333333333,0.8347826086956521,0.612725841751942,0.6298989898989898,0.6912431771127423
PhysioNetMI,DNN-FBCNET,11,0.6181679157469671,0.5622529644268774,0.1278172870146786,0.4762845849802371,0.8363636363636363,0.5923659853851165,0.6173737373737374,0.7006225439031764
PhysioNetMI,DNN-SEQ,11,0.6497245179063361,0.5982142857142858,0.13527412038469946,0.5160714285714285,0.9294466403162055,0.6415098645006693,0.6541414141414141,0.6949088570630072
PhysioNetMI,RIE-EA-TS,11,0.6179921034170046,0.5612648221343874,0.11551215266202607,0.5059523809523809,0.8883399209486166,0.5939136342128563,0.6181818181818182,0.6943104107135727
PhysioNetMI,RIE-MDM,11,0.5099445185907636,0.5,0.05209643491902866,0.4166666666666666,0.6383399209486166,0.38219852353196726,0.5151515151515151,0.6264087800649065
PhysioNetMI,RIE-TS-LR,11,0.6132278459353558,0.5622529644268774,0.11757910634162896,0.5098814229249011,0.8883399209486166,0.5868966099508106,0.6141414141414141,0.6971942747634448
PhysioNetMI,SAN-MAJ,11,0.5,0.5,0.0,0.5,0.5,0.33810397821717647,0.5111111111111111,
PhysioNetMI,SAN-PERM,11,0.49961262469414636,0.49916666666666665,0.005402943293077881,0.4920355731225296,0.5125197628458498,0.41829235890370814,0.5016565656565656,0.4990004363225707
PhysioNetMI,SAN-PRIOR,11,0.5,0.5,0.0,0.5,0.5,0.33810397821717647,0.5111111111111111,0.5
PhysioNetMI,SAN-STRAT,11,0.5080723418544565,0.5076581027667985,0.02471384659173808,0.467094861660079,0.5482142857142857,0.5050161067531803,0.508080808080808,0.5
PhysioNetMI,SSL-CBRAMOD,11,0.5450254949266807,0.4934523809523809,0.09164420676541263,0.4583333333333333,0.691304347826087,0.539503289839057,0.5442424242424242,0.5573343542711132
