dataset_id,branch_id,subject_id,BACC,F1_MACRO,ACC,ROC_AUC
PhysioNetMI,CLS-CSP-LDA,47,0.5178571428571428,0.3915343915343915,0.4888888888888889,0.5317460317460317
PhysioNetMI,CLS-CSP-LDA,48,0.6926877470355731,0.6811740890688258,0.6888888888888889,0.6818181818181818
PhysioNetMI,CLS-CSP-LDA,57,0.5803571428571428,0.5,0.5555555555555556,0.6567460317460317
PhysioNetMI,CLS-CSP-LDA,71,0.8675889328063241,0.866600790513834,0.8666666666666667,0.9189723320158104
PhysioNetMI,CLS-CSP-LDA,93,0.825098814229249,0.8200000000000001,0.8222222222222222,0.9367588932806324
PhysioNetMI,CLS-CSP-LDA,98,0.4446640316205533,0.4444444444444444,0.4444444444444444,0.4861660079051383
PhysioNetMI,CLS-CSP-LDA,107,0.6666666666666666,0.6120689655172413,0.6444444444444445,0.6567460317460317
PhysioNetMI,CLS-FBCSP-LR,6,0.431547619047619,0.4155844155844155,0.4444444444444444,0.4523809523809523
PhysioNetMI,CLS-FBCSP-LR,27,0.4990118577075099,0.3630769230769231,0.4888888888888889,0.5592885375494072
PhysioNetMI,CLS-FBCSP-LR,39,0.4209486166007905,0.4196428571428571,0.4222222222222222,0.4980237154150198
PhysioNetMI,CLS-FBCSP-LR,40,0.5416666666666666,0.5296167247386759,0.5333333333333333,0.6031746031746033
PhysioNetMI,CLS-FBCSP-LR,47,0.6398809523809523,0.6025974025974026,0.6222222222222222,0.6884920634920635
PhysioNetMI,CLS-FBCSP-LR,48,0.5859683794466404,0.5166760881854155,0.5777777777777777,0.6462450592885376
PhysioNetMI,CLS-FBCSP-LR,57,0.5476190476190476,0.5181030086690463,0.5333333333333333,0.6468253968253969
PhysioNetMI,CLS-FBCSP-LR,71,0.6739130434782609,0.6309458720612356,0.6666666666666666,0.8873517786561265
PhysioNetMI,CLS-FBCSP-LR,93,0.8448616600790514,0.8444444444444444,0.8444444444444444,0.9347826086956522
PhysioNetMI,CLS-FBCSP-LR,98,0.4693675889328063,0.46,0.4666666666666667,0.4822134387351778
