dataset_id,model_id,metric_id,budget_per_class,budget_id,point_status,value,attempted_repeats,successful_repeats,non_success_repeats,budget_repeat_id,single_frozen_subset_limitation
Lee2019_MI,SSL-CBRAMOD,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5026666666666666,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,SSL-CBRAMOD,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.484,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,SSL-CBRAMOD,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.4956666666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,SSL-CBRAMOD,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5106666666666666,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,SSL-CBRAMOD,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.488,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
Lee2019_MI,SSL-CBRAMOD,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.4926666666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True
PhysioNetMI,CLS-CSP-LDA,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,EXPLICIT_NON_SUCCESS,,1,0,1,P01_FROZEN_SINGLE_SUBSET,True
PhysioNetMI,CLS-CSP-LDA,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5458138699245418,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
PhysioNetMI,CLS-CSP-LDA,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5018864534674811,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
PhysioNetMI,CLS-CSP-LDA,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5159899389148401,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
PhysioNetMI,CLS-CSP-LDA,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5278476464247215,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
PhysioNetMI,CLS-CSP-LDA,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5038627380524614,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
PhysioNetMI,RIE-TS-LR,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5130255120373697,1,1,0,P01_FROZEN_SINGLE_SUBSET,True
